"department_code","estimate"
"01",-0.0378585481762171
"02",0.380115804724515
"03",0.324750495648734
"04",-0.00457106639820145
"05",-0.340012570605696
"06",-0.149009744464033
"07",-0.0228616227212907
"08",0.586301485756055
"09",-0.0832208175221023
"10",-0.444345141674622
"11",0.0279515861731781
"12",0.199869114904006
"13",-0.539489017114355
"14",-0.0974555441725746
"15",-0.0810560003998865
"16",0.63982439691175
"17",0.191967627317614
"18",0.347121457004441
"19",0.121676726949428
"21",0.395550221529461
"22",0.13905034696323
"23",0.592238299761234
"24",0.603307672815555
"25",0.0242639248993691
"26",0.132698984120121
"27",-0.116265375988956
"28",0.31922020571912
"29",-0.217807169836177
"2A",-0.183095688389244
"2B",-0.642267191297515
"30",0.346994699763848
"31",0.151560148506216
"32",0.323930896241743
"33",-0.332734507058239
"34",0.197417568419879
"35",-0.284398079752516
"36",0.39472995629621
"37",-0.454320407741143
"38",0.158201993001549
"39",0.447253274147608
"40",0.692361793679312
"41",0.258608264450065
"42",0.0594438716478295
"43",0.360735006393532
"44",0.157403593702326
"45",-0.161203066727126
"46",0.484411287166093
"47",0.366065411892944
"48",0.368005733741835
"49",-0.143123728618539
"50",-0.0884333280326127
"51",-0.32983980095546
"52",0.323808160260732
"53",0.602423562808994
"54",-0.394402142301088
"55",0.188567273620399
"56",-0.000455506155943546
"57",0.382186066200691
"58",0.163202146102132
"59",0.129893820742731
"60",-0.194622486276739
"61",0.179001069766279
"62",0.499401462195274
"63",-0.0319886330788849
"64",-0.54019601752629
"65",0.0644502035710449
"66",-0.181608560772479
"67",-0.348385356644074
"68",0.0749597382229598
"69",-0.679913274528777
"70",0.743321380403826
"71",0.0251740894577454
"72",-0.292001832341844
"73",0.200130076940642
"74",-0.014865373339377
"75",-1.50774530900696
"76",0.00710441035350449
"77",-0.436049180504683
"78",-0.611453352052702
"79",0.397219535297047
"80",-0.174758126406583
"81",0.224178418045187
"82",0.610856625768157
"83",0.247787553285447
"84",0.371254749582807
"85",0.509871243412709
"86",0.344415098232226
"87",-0.296494413804918
"88",0.357192697858871
"89",0.325718373372937
"90",0.442398040827832
"91",-1.18227703410227
"92",-1.53415735410402
"93",-1.32378086091334
"94",-1.55456882205605
"95",-0.908169038277808
"977",-0.220276972242666
"978",-0.00799485132419365
"986",-0.01801473180073
